,Date,Close
0,2021-07-08,6901.9
1,2021-07-09,6899.55
2,2021-07-12,7093.75
3,2021-07-13,7128.85
4,2021-07-14,7118.05
5,2021-07-15,7189.65
6,2021-07-16,7334.55
7,2021-07-19,7312.35
8,2021-07-20,7424.7
9,2021-07-22,7459.0
10,2021-07-23,7490.3
11,2021-07-26,7616.7
12,2021-07-27,7596.25
13,2021-07-28,7654.65
14,2021-07-29,7700.45
15,2021-07-30,7619.2
16,2021-08-02,7642.05
17,2021-08-03,7843.25
18,2021-08-04,7750.0
19,2021-08-05,7659.0
20,2021-08-06,7527.65
21,2021-08-09,7495.65
22,2021-08-10,7474.15
23,2021-08-11,7452.45
24,2021-08-12,7468.7
25,2021-08-13,7460.7
26,2021-08-16,7346.65
27,2021-08-17,7409.05
28,2021-08-18,7601.45
29,2021-08-20,7493.35
30,2021-08-23,7351.0
31,2021-08-24,7455.35
32,2021-08-25,7382.35
33,2021-08-26,7307.1
34,2021-08-27,7565.6
35,2021-08-30,7703.8
36,2021-08-31,7832.45
37,2021-09-01,7766.95
38,2021-09-02,7952.75
39,2021-09-03,7929.85
40,2021-09-06,7952.6
41,2021-09-07,8026.25
42,2021-09-08,7992.9
43,2021-09-09,7939.65
44,2021-09-13,7944.45
45,2021-09-14,7856.45
46,2021-09-15,7820.85
47,2021-09-16,7765.45
48,2021-09-17,7711.85
49,2021-09-20,7576.0
50,2021-09-21,7592.7
51,2021-09-22,7625.6
52,2021-09-23,7619.7
53,2021-09-24,7521.5
54,2021-09-27,7622.9
55,2021-09-28,7588.3
56,2021-09-29,7464.55
57,2021-09-30,7396.1
58,2021-10-01,7483.55
59,2021-10-04,7515.6
60,2021-10-05,7464.0
61,2021-10-06,7363.0
62,2021-10-07,7354.6
