,Date,Close
0,2021-07-08,386.55
1,2021-07-09,394.75
2,2021-07-12,392.85
3,2021-07-13,395.0
4,2021-07-14,396.05
5,2021-07-15,397.0
6,2021-07-16,405.95
7,2021-07-19,393.45
8,2021-07-20,380.15
9,2021-07-22,394.4
10,2021-07-23,397.7
11,2021-07-26,403.8
12,2021-07-27,419.8
13,2021-07-28,419.7
14,2021-07-29,437.6
15,2021-07-30,431.75
16,2021-08-02,424.5
17,2021-08-03,421.75
18,2021-08-04,415.95
19,2021-08-05,425.35
20,2021-08-06,421.7
21,2021-08-09,418.15
22,2021-08-10,400.45
23,2021-08-11,421.35
24,2021-08-12,424.25
25,2021-08-13,424.25
26,2021-08-16,430.3
27,2021-08-17,414.95
28,2021-08-18,408.0
29,2021-08-20,376.85
30,2021-08-23,363.6
31,2021-08-24,372.75
32,2021-08-25,375.4
33,2021-08-26,371.25
34,2021-08-27,371.5
35,2021-08-30,381.45
36,2021-08-31,376.95
37,2021-09-01,370.8
38,2021-09-02,377.75
39,2021-09-03,392.6
40,2021-09-06,390.3
41,2021-09-07,399.85
42,2021-09-08,395.8
43,2021-09-09,400.35
44,2021-09-13,403.5
45,2021-09-14,401.1
46,2021-09-15,401.9
47,2021-09-16,395.1
48,2021-09-17,386.6
49,2021-09-20,351.1
50,2021-09-21,361.6
51,2021-09-22,365.95
52,2021-09-23,371.15
53,2021-09-24,359.15
54,2021-09-27,357.8
55,2021-09-28,361.4
56,2021-09-29,382.5
57,2021-09-30,389.25
58,2021-10-01,401.7
59,2021-10-04,418.4
60,2021-10-05,421.15
61,2021-10-06,409.65
62,2021-10-07,407.6
