,Date,Close
0,2021-07-08,145.65
1,2021-07-09,144.3
2,2021-07-12,142.4
3,2021-07-13,143.85
4,2021-07-14,144.35
5,2021-07-15,143.25
6,2021-07-16,143.35
7,2021-07-19,143.45
8,2021-07-20,141.45
9,2021-07-22,142.75
10,2021-07-23,143.75
11,2021-07-26,143.45
12,2021-07-27,141.5
13,2021-07-28,140.4
14,2021-07-29,140.75
15,2021-07-30,138.4
16,2021-08-02,138.15
17,2021-08-03,139.7
18,2021-08-04,139.95
19,2021-08-05,139.85
20,2021-08-06,141.0
21,2021-08-09,140.6
22,2021-08-10,138.75
23,2021-08-11,136.25
24,2021-08-12,136.35
25,2021-08-13,135.05
26,2021-08-16,135.95
27,2021-08-17,133.45
28,2021-08-18,131.9
29,2021-08-20,130.35
30,2021-08-23,127.65
31,2021-08-24,130.15
32,2021-08-25,133.3
33,2021-08-26,135.15
34,2021-08-27,133.65
35,2021-08-30,133.1
36,2021-08-31,134.0
37,2021-09-01,133.95
38,2021-09-02,134.6
39,2021-09-03,136.05
40,2021-09-06,135.75
41,2021-09-07,134.95
42,2021-09-08,135.75
43,2021-09-09,137.65
44,2021-09-13,138.9
45,2021-09-14,138.45
46,2021-09-15,137.95
47,2021-09-16,141.65
48,2021-09-17,136.45
49,2021-09-20,137.75
50,2021-09-21,137.45
51,2021-09-22,139.2
52,2021-09-23,141.15
53,2021-09-24,139.1
54,2021-09-27,137.15
55,2021-09-28,139.1
56,2021-09-29,139.45
57,2021-09-30,140.2
58,2021-10-01,140.1
59,2021-10-04,140.6
60,2021-10-05,141.2
61,2021-10-06,144.55
62,2021-10-07,144.35
