,Date,Close
0,2021-07-08,20.25
1,2021-07-09,21.25
2,2021-07-12,21.25
3,2021-07-13,20.3
4,2021-07-14,20.6
5,2021-07-15,20.05
6,2021-07-16,19.9
7,2021-07-19,20.1
8,2021-07-20,19.1
9,2021-07-22,18.8
10,2021-07-23,17.9
11,2021-07-26,18.75
12,2021-07-27,18.15
13,2021-07-28,17.7
14,2021-07-29,17.35
15,2021-07-30,18.15
16,2021-08-02,18.5
17,2021-08-03,18.1
18,2021-08-04,17.2
19,2021-08-05,16.35
20,2021-08-06,17.1
21,2021-08-09,16.35
22,2021-08-10,15.55
23,2021-08-11,15.15
24,2021-08-12,15.9
25,2021-08-13,15.55
26,2021-08-16,14.8
27,2021-08-17,14.5
28,2021-08-18,14.55
29,2021-08-20,13.9
30,2021-08-23,13.25
31,2021-08-24,13.9
32,2021-08-25,14.55
33,2021-08-26,15.15
34,2021-08-27,14.8
35,2021-08-30,15.1
36,2021-08-31,14.75
37,2021-09-01,14.3
38,2021-09-02,14.8
39,2021-09-03,14.85
40,2021-09-06,15.55
41,2021-09-07,16.3
42,2021-09-08,17.1
43,2021-09-09,17.95
44,2021-09-13,18.8
45,2021-09-14,19.7
46,2021-09-15,20.65
47,2021-09-16,21.65
48,2021-09-17,21.05
49,2021-09-20,20.6
50,2021-09-21,19.9
51,2021-09-22,20.75
52,2021-09-23,21.2
53,2021-09-24,21.4
54,2021-09-27,21.9
55,2021-09-28,21.15
56,2021-09-29,22.2
57,2021-09-30,21.65
58,2021-10-01,20.95
59,2021-10-04,21.1
60,2021-10-05,20.95
61,2021-10-06,20.7
62,2021-10-07,22.75
