,Date,Close
0,2021-07-08,79.8
1,2021-07-09,79.2
2,2021-07-12,79.15
3,2021-07-13,77.95
4,2021-07-14,76.95
5,2021-07-15,77.8
6,2021-07-16,77.5
7,2021-07-19,77.15
8,2021-07-20,75.75
9,2021-07-22,75.95
10,2021-07-23,74.85
11,2021-07-26,75.8
12,2021-07-27,75.15
13,2021-07-28,73.8
14,2021-07-29,74.65
15,2021-07-30,75.05
16,2021-08-02,74.6
17,2021-08-03,74.9
18,2021-08-04,73.85
19,2021-08-05,73.9
20,2021-08-06,73.9
21,2021-08-09,74.75
22,2021-08-10,73.15
23,2021-08-11,72.75
24,2021-08-12,71.95
25,2021-08-13,70.75
26,2021-08-16,70.95
27,2021-08-17,71.65
28,2021-08-18,71.15
29,2021-08-20,70.1
30,2021-08-23,67.85
31,2021-08-24,68.05
32,2021-08-25,69.3
33,2021-08-26,69.5
34,2021-08-27,70.6
35,2021-08-30,71.8
36,2021-08-31,73.1
37,2021-09-01,72.25
38,2021-09-02,71.95
39,2021-09-03,71.9
40,2021-09-06,73.0
41,2021-09-07,72.35
42,2021-09-08,72.0
43,2021-09-09,71.8
44,2021-09-13,72.6
45,2021-09-14,73.0
46,2021-09-15,73.75
47,2021-09-16,73.6
48,2021-09-17,73.6
49,2021-09-20,73.15
50,2021-09-21,72.4
51,2021-09-22,73.9
52,2021-09-23,74.05
53,2021-09-24,73.45
54,2021-09-27,72.55
55,2021-09-28,73.85
56,2021-09-29,75.3
57,2021-09-30,78.75
58,2021-10-01,78.2
59,2021-10-04,78.85
60,2021-10-05,77.65
61,2021-10-06,76.2
62,2021-10-07,77.65
