,Date,Close
0,2021-07-08,471.25
1,2021-07-09,475.2
2,2021-07-12,476.5
3,2021-07-13,474.65
4,2021-07-14,473.2
5,2021-07-15,480.1
6,2021-07-16,480.5
7,2021-07-19,481.1
8,2021-07-20,475.7
9,2021-07-22,473.0
10,2021-07-23,473.45
11,2021-07-26,467.4
12,2021-07-27,458.3
13,2021-07-28,454.6
14,2021-07-29,452.2
15,2021-07-30,455.2
16,2021-08-02,465.4
17,2021-08-03,464.45
18,2021-08-04,471.75
19,2021-08-05,473.2
20,2021-08-06,475.05
21,2021-08-09,456.4
22,2021-08-10,456.45
23,2021-08-11,457.2
24,2021-08-12,468.35
25,2021-08-13,464.25
26,2021-08-16,459.95
27,2021-08-17,456.15
28,2021-08-18,460.1
29,2021-08-20,453.1
30,2021-08-23,453.55
31,2021-08-24,460.45
32,2021-08-25,472.65
33,2021-08-26,473.15
34,2021-08-27,488.15
35,2021-08-30,490.85
36,2021-08-31,481.5
37,2021-09-01,487.85
38,2021-09-02,485.05
39,2021-09-03,486.25
40,2021-09-06,478.85
41,2021-09-07,471.7
42,2021-09-08,482.55
43,2021-09-09,477.45
44,2021-09-13,480.75
45,2021-09-14,482.25
46,2021-09-15,488.9
47,2021-09-16,495.0
48,2021-09-17,481.9
49,2021-09-20,484.5
50,2021-09-21,491.0
51,2021-09-22,492.95
52,2021-09-23,495.15
53,2021-09-24,498.55
54,2021-09-27,494.9
55,2021-09-28,503.25
56,2021-09-29,516.4
57,2021-09-30,505.05
58,2021-10-01,501.4
59,2021-10-04,502.6
60,2021-10-05,515.15
61,2021-10-06,505.7
62,2021-10-07,510.05
