,Date,Close
0,2021-07-08,53.2
1,2021-07-09,53.75
2,2021-07-12,54.0
3,2021-07-13,54.0
4,2021-07-14,53.8
5,2021-07-15,53.4
6,2021-07-16,54.05
7,2021-07-19,52.6
8,2021-07-20,51.2
9,2021-07-22,52.15
10,2021-07-23,51.15
11,2021-07-26,51.2
12,2021-07-27,50.75
13,2021-07-28,50.7
14,2021-07-29,51.95
15,2021-07-30,52.0
16,2021-08-02,51.85
17,2021-08-03,51.7
18,2021-08-04,49.75
19,2021-08-05,47.8
20,2021-08-06,49.2
21,2021-08-09,47.4
22,2021-08-10,45.85
23,2021-08-11,46.9
24,2021-08-12,45.9
25,2021-08-13,45.5
26,2021-08-16,44.85
27,2021-08-17,44.15
28,2021-08-18,44.65
29,2021-08-20,41.8
30,2021-08-23,40.95
31,2021-08-24,42.9
32,2021-08-25,42.55
33,2021-08-26,42.2
34,2021-08-27,42.5
35,2021-08-30,43.45
36,2021-08-31,42.95
37,2021-09-01,44.45
38,2021-09-02,44.9
39,2021-09-03,45.65
40,2021-09-06,45.15
41,2021-09-07,46.4
42,2021-09-08,46.15
43,2021-09-09,46.9
44,2021-09-13,46.85
45,2021-09-14,47.95
46,2021-09-15,48.65
47,2021-09-16,50.95
48,2021-09-17,49.15
49,2021-09-20,47.85
50,2021-09-21,48.5
51,2021-09-22,48.5
52,2021-09-23,48.5
53,2021-09-24,47.1
54,2021-09-27,46.85
55,2021-09-28,46.25
56,2021-09-29,48.3
57,2021-09-30,47.65
58,2021-10-01,47.35
59,2021-10-04,47.65
60,2021-10-05,47.95
61,2021-10-06,47.0
62,2021-10-07,47.8
