,Date,Close
0,2021-07-08,86.05
1,2021-07-09,85.6
2,2021-07-12,89.5
3,2021-07-13,89.25
4,2021-07-14,89.85
5,2021-07-15,88.4
6,2021-07-16,87.9
7,2021-07-19,86.0
8,2021-07-20,83.75
9,2021-07-22,84.25
10,2021-07-23,85.4
11,2021-07-26,87.25
12,2021-07-27,86.3
13,2021-07-28,85.55
14,2021-07-29,85.9
15,2021-07-30,87.45
16,2021-08-02,86.55
17,2021-08-03,89.15
18,2021-08-04,87.75
19,2021-08-05,85.95
20,2021-08-06,87.15
21,2021-08-09,87.75
22,2021-08-10,86.4
23,2021-08-11,85.2
24,2021-08-12,85.6
25,2021-08-13,85.3
26,2021-08-16,84.8
27,2021-08-17,83.25
28,2021-08-18,83.25
29,2021-08-20,79.9
30,2021-08-23,78.25
31,2021-08-24,80.1
32,2021-08-25,80.45
33,2021-08-26,78.2
34,2021-08-27,77.95
35,2021-08-30,81.35
36,2021-08-31,81.25
37,2021-09-01,82.4
38,2021-09-02,82.8
39,2021-09-03,82.85
40,2021-09-06,82.4
41,2021-09-07,81.55
42,2021-09-08,83.1
43,2021-09-09,82.4
44,2021-09-13,82.1
45,2021-09-14,82.35
46,2021-09-15,83.65
47,2021-09-16,85.9
48,2021-09-17,83.3
49,2021-09-20,79.7
50,2021-09-21,80.05
51,2021-09-22,81.1
52,2021-09-23,81.85
53,2021-09-24,80.85
54,2021-09-27,81.6
55,2021-09-28,80.9
56,2021-09-29,81.35
57,2021-09-30,84.3
58,2021-10-01,83.15
59,2021-10-04,85.05
60,2021-10-05,85.75
61,2021-10-06,84.4
62,2021-10-07,85.45
