,Date,Close
0,2021-07-08,83.5
1,2021-07-09,83.65
2,2021-07-12,83.3
3,2021-07-13,84.7
4,2021-07-14,84.25
5,2021-07-15,83.7
6,2021-07-16,81.7
7,2021-07-19,80.15
8,2021-07-20,78.9
9,2021-07-22,80.2
10,2021-07-23,79.85
11,2021-07-26,79.75
12,2021-07-27,80.0
13,2021-07-28,78.05
14,2021-07-29,80.6
15,2021-07-30,80.3
16,2021-08-02,80.75
17,2021-08-03,82.65
18,2021-08-04,83.5
19,2021-08-05,82.45
20,2021-08-06,83.4
21,2021-08-09,81.15
22,2021-08-10,78.1
23,2021-08-11,80.65
24,2021-08-12,81.55
25,2021-08-13,80.95
26,2021-08-16,79.5
27,2021-08-17,78.05
28,2021-08-18,78.75
29,2021-08-20,74.15
30,2021-08-23,73.2
31,2021-08-24,75.5
32,2021-08-25,75.1
33,2021-08-26,74.1
34,2021-08-27,74.55
35,2021-08-30,76.95
36,2021-08-31,77.35
37,2021-09-01,78.35
38,2021-09-02,78.4
39,2021-09-03,79.2
40,2021-09-06,78.9
41,2021-09-07,78.1
42,2021-09-08,79.35
43,2021-09-09,79.15
44,2021-09-13,78.25
45,2021-09-14,78.65
46,2021-09-15,81.3
47,2021-09-16,85.9
48,2021-09-17,82.3
49,2021-09-20,78.25
50,2021-09-21,78.65
51,2021-09-22,79.7
52,2021-09-23,79.65
53,2021-09-24,77.85
54,2021-09-27,78.0
55,2021-09-28,79.45
56,2021-09-29,81.7
57,2021-09-30,81.75
58,2021-10-01,82.45
59,2021-10-04,84.35
60,2021-10-05,83.35
61,2021-10-06,82.3
62,2021-10-07,84.0
